[2026-03-26 15:52:21.293801] SYNC: Student ravi (101) | Total:6 Pres:4 New%:66.67
[2026-03-28 10:08:12.222109] SYNC: Student ravii (102) | Total:1 Pres:0 New%:0.0
[2026-03-28 10:08:12.230756] SYNC: Student jaya (103) | Total:1 Pres:0 New%:0.0
[2026-03-28 10:08:24.168090] SYNC: Student ravi (101) | Total:6 Pres:3 New%:50.0
[2026-03-28 10:08:24.175675] SYNC: Student Sravani (105) | Total:5 Pres:2 New%:40.0
[2026-03-28 10:08:24.182774] SYNC: Student Vennela (106) | Total:5 Pres:3 New%:60.0
[2026-03-28 10:08:24.189422] SYNC: Student ravii (102) | Total:1 Pres:0 New%:0.0
[2026-03-28 10:08:24.195836] SYNC: Student jaya (103) | Total:1 Pres:0 New%:0.0
[2026-03-28 10:11:18.588060] SYNC: Student Teja (201) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:11:18.607172] SYNC: Student Sujatha (202) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:11:18.622740] SYNC: Student Kavitha (203) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:11:18.633716] SYNC: Student Praveen (204) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:11:28.301287] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 10:11:28.319546] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 10:11:28.330298] SYNC: Student Kavitha (203) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:11:28.342552] SYNC: Student Praveen (204) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:11:35.494569] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 10:11:35.506228] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 10:11:35.517280] SYNC: Student Kavitha (203) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:11:35.527121] SYNC: Student Praveen (204) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:46:41.570794] SYNC: Student ravi (101) | Total:6 Pres:3 New%:50.0
[2026-03-28 10:46:41.583542] SYNC: Student Sravani (105) | Total:5 Pres:2 New%:40.0
[2026-03-28 10:46:41.594848] SYNC: Student Vennela (106) | Total:5 Pres:3 New%:60.0
[2026-03-28 10:46:41.608669] SYNC: Student ravii (102) | Total:1 Pres:0 New%:0.0
[2026-03-28 10:46:41.619422] SYNC: Student jaya (103) | Total:1 Pres:0 New%:0.0
[2026-03-28 10:47:02.234195] SYNC: Student ravi (101) | Total:1 Pres:1 New%:100.0
[2026-03-28 10:47:02.249416] SYNC: Student Sravani (105) | Total:1 Pres:1 New%:100.0
[2026-03-28 10:47:02.260896] SYNC: Student Vennela (106) | Total:1 Pres:1 New%:100.0
[2026-03-28 10:47:02.276539] SYNC: Student ravii (102) | Total:1 Pres:1 New%:100.0
[2026-03-28 10:47:02.283235] SYNC: Student jaya (103) | Total:1 Pres:1 New%:100.0
[2026-03-28 10:47:31.223361] SYNC: Student ravi (101) | Total:1 Pres:1 New%:100.0
[2026-03-28 10:47:31.232331] SYNC: Student Sravani (105) | Total:1 Pres:1 New%:100.0
[2026-03-28 10:47:31.241208] SYNC: Student Vennela (106) | Total:1 Pres:1 New%:100.0
[2026-03-28 10:47:31.247171] SYNC: Student ravii (102) | Total:1 Pres:1 New%:100.0
[2026-03-28 10:47:31.253621] SYNC: Student jaya (103) | Total:1 Pres:1 New%:100.0
[2026-03-28 12:16:43.630633] SYNC: Student Teja (201) | Total:1 Pres:1 New%:100.0
[2026-03-28 12:16:43.655226] SYNC: Student Sujatha (202) | Total:1 Pres:1 New%:100.0
[2026-03-28 12:16:43.668920] SYNC: Student Kavitha (203) | Total:1 Pres:1 New%:100.0
[2026-03-28 12:16:43.680549] SYNC: Student Praveen (204) | Total:1 Pres:1 New%:100.0
[2026-03-28 12:16:52.868409] SYNC: Student Teja (201) | Total:1 Pres:0 New%:0.0
[2026-03-28 12:16:52.883124] SYNC: Student Sujatha (202) | Total:1 Pres:0 New%:0.0
[2026-03-28 12:16:52.894244] SYNC: Student Kavitha (203) | Total:1 Pres:1 New%:100.0
[2026-03-28 12:16:52.907525] SYNC: Student Praveen (204) | Total:1 Pres:1 New%:100.0
[2026-03-28 12:17:05.051247] SYNC: Student Teja (201) | Total:1 Pres:1 New%:100.0
[2026-03-28 12:17:05.066400] SYNC: Student Sujatha (202) | Total:1 Pres:1 New%:100.0
[2026-03-28 12:17:05.079917] SYNC: Student Kavitha (203) | Total:1 Pres:0 New%:0.0
[2026-03-28 12:17:05.100048] SYNC: Student Praveen (204) | Total:1 Pres:1 New%:100.0
[2026-03-28 12:18:17.743576] SYNC: Student Teja (201) | Total:1 Pres:0 New%:0.0
[2026-03-28 12:18:17.758728] SYNC: Student Sujatha (202) | Total:1 Pres:0 New%:0.0
[2026-03-28 12:18:17.773627] SYNC: Student Kavitha (203) | Total:1 Pres:0 New%:0.0
[2026-03-28 12:18:17.785260] SYNC: Student Praveen (204) | Total:1 Pres:1 New%:100.0
[2026-03-28 12:39:09.254804] SYNC: Student Teja (201) | Total:2 Pres:0 New%:0.0
[2026-03-28 12:39:09.274933] SYNC: Student Sujatha (202) | Total:2 Pres:0 New%:0.0
[2026-03-28 12:39:09.286031] SYNC: Student Kavitha (203) | Total:2 Pres:1 New%:50.0
[2026-03-28 12:39:09.304391] SYNC: Student Praveen (204) | Total:2 Pres:2 New%:100.0
[2026-03-28 12:39:18.246980] SYNC: Student Teja (201) | Total:3 Pres:0 New%:0.0
[2026-03-28 12:39:18.263889] SYNC: Student Sujatha (202) | Total:3 Pres:0 New%:0.0
[2026-03-28 12:39:18.282211] SYNC: Student Kavitha (203) | Total:3 Pres:1 New%:33.33
[2026-03-28 12:39:18.294804] SYNC: Student Praveen (204) | Total:3 Pres:2 New%:66.67
[2026-03-28 12:39:36.995673] SYNC: Student Teja (201) | Total:4 Pres:1 New%:25.0
[2026-03-28 12:39:37.012156] SYNC: Student Sujatha (202) | Total:4 Pres:1 New%:25.0
[2026-03-28 12:39:37.026756] SYNC: Student Kavitha (203) | Total:4 Pres:2 New%:50.0
[2026-03-28 12:39:37.036275] SYNC: Student Praveen (204) | Total:4 Pres:3 New%:75.0
[2026-03-28 12:45:32.225503] SYNC: Student ravi (101) | Total:1 Pres:0 New%:0.0
[2026-03-28 12:45:32.244015] SYNC: Student Sravani (105) | Total:1 Pres:0 New%:0.0
[2026-03-28 12:45:32.258853] SYNC: Student Vennela (106) | Total:1 Pres:1 New%:100.0
[2026-03-28 12:45:32.275207] SYNC: Student ravii (102) | Total:2 Pres:1 New%:50.0
[2026-03-28 12:45:32.290471] SYNC: Student jaya (103) | Total:2 Pres:2 New%:100.0
[2026-03-28 12:45:44.013389] SYNC: Student ravi (101) | Total:2 Pres:0 New%:0.0
[2026-03-28 12:45:44.028135] SYNC: Student Sravani (105) | Total:2 Pres:1 New%:50.0
[2026-03-28 12:45:44.045991] SYNC: Student Vennela (106) | Total:2 Pres:2 New%:100.0
[2026-03-28 12:45:44.055662] SYNC: Student ravii (102) | Total:3 Pres:1 New%:33.33
[2026-03-28 12:45:44.075830] SYNC: Student jaya (103) | Total:3 Pres:3 New%:100.0
[2026-03-28 12:47:08.896513] SYNC: Student ravi (101) | Total:3 Pres:1 New%:33.33
[2026-03-28 12:47:08.907740] SYNC: Student Sravani (105) | Total:3 Pres:2 New%:66.67
[2026-03-28 12:47:08.939592] SYNC: Student Vennela (106) | Total:3 Pres:3 New%:100.0
[2026-03-28 12:47:08.951619] SYNC: Student ravii (102) | Total:4 Pres:1 New%:25.0
[2026-03-28 12:47:08.968813] SYNC: Student jaya (103) | Total:4 Pres:4 New%:100.0
[2026-03-30 09:12:34.681593] SYNC: Student radha (205) | Total:0 Pres:0 New%:100.0
[2026-03-30 09:12:57.080168] SYNC: Student Teja (201) | Total:5 Pres:2 New%:40.0
[2026-03-30 09:12:57.096103] SYNC: Student Sujatha (202) | Total:5 Pres:1 New%:20.0
[2026-03-30 09:12:57.117912] SYNC: Student Kavitha (203) | Total:5 Pres:2 New%:40.0
[2026-03-30 09:12:57.130103] SYNC: Student Praveen (204) | Total:5 Pres:3 New%:60.0
[2026-03-30 09:12:57.146937] SYNC: Student radha (205) | Total:1 Pres:0 New%:0.0
[2026-03-30 09:12:58.674855] SYNC: Student Teja (201) | Total:6 Pres:3 New%:50.0
[2026-03-30 09:12:58.695572] SYNC: Student Sujatha (202) | Total:6 Pres:1 New%:16.67
[2026-03-30 09:12:58.711344] SYNC: Student Kavitha (203) | Total:6 Pres:2 New%:33.33
[2026-03-30 09:12:58.727663] SYNC: Student Praveen (204) | Total:6 Pres:3 New%:50.0
[2026-03-30 09:12:58.743926] SYNC: Student radha (205) | Total:2 Pres:0 New%:0.0
[2026-03-30 09:50:07.719378] SYNC: Student ravi (101) | Total:4 Pres:1 New%:25.0
[2026-03-30 09:50:07.742513] SYNC: Student Sravani (105) | Total:4 Pres:2 New%:50.0
[2026-03-30 09:50:07.753969] SYNC: Student Vennela (106) | Total:4 Pres:3 New%:75.0
[2026-03-30 09:50:07.773693] SYNC: Student ravii (102) | Total:5 Pres:1 New%:20.0
[2026-03-30 09:50:07.781916] SYNC: Student jaya (103) | Total:5 Pres:4 New%:80.0
[2026-03-30 13:22:25.978031] SYNC: Student nani (601) | Total:0 Pres:0 New%:100.0
[2026-03-30 14:52:48.767165] SYNC: Student Dhanush (701) | Total:0 Pres:0 New%:100.0
[2026-03-30 14:55:45.410369] SYNC: Student Dhanush (701) | Total:1 Pres:1 New%:100.0
[2026-03-30 14:55:48.429431] SYNC: Student Dhanush (701) | Total:2 Pres:2 New%:100.0
[2026-03-30 14:55:52.223648] SYNC: Student Dhanush (701) | Total:3 Pres:2 New%:66.67
[2026-03-30 14:55:55.603063] SYNC: Student Dhanush (701) | Total:4 Pres:2 New%:50.0
[2026-03-30 14:56:24.781152] SYNC: Student Dhanush (701) | Total:5 Pres:2 New%:40.0
[2026-03-30 15:12:36.260965] SYNC: Student Dhanush (701) | Total:6 Pres:2 New%:33.33
[2026-03-30 15:13:18.328500] SYNC: Student Dhanush (701) | Total:7 Pres:3 New%:42.86
[2026-03-30 15:13:18.845566] SYNC: Student Dhanush (701) | Total:8 Pres:4 New%:50.0
[2026-03-30 15:13:19.727663] SYNC: Student Dhanush (701) | Total:9 Pres:5 New%:55.56
[2026-03-30 15:13:37.666854] SYNC: Student Dhanush (701) | Total:10 Pres:5 New%:50.0
[2026-03-30 17:38:19.434006] SYNC: Student ravi (101) | Total:5 Pres:2 New%:40.0
[2026-03-30 17:38:19.448670] SYNC: Student Sravani (105) | Total:5 Pres:3 New%:60.0
[2026-03-30 17:38:19.462542] SYNC: Student Vennela (106) | Total:5 Pres:3 New%:60.0
[2026-03-30 17:38:19.478502] SYNC: Student jaya (103) | Total:6 Pres:4 New%:66.67
[2026-03-30 21:10:08.068310] SYNC: Student Teja (201) | Total:7 Pres:4 New%:57.14
[2026-03-30 21:10:08.088120] SYNC: Student Sujatha (202) | Total:7 Pres:1 New%:14.29
[2026-03-30 21:10:08.098809] SYNC: Student Kavitha (203) | Total:7 Pres:2 New%:28.57
[2026-03-30 21:10:08.119414] SYNC: Student Praveen (204) | Total:7 Pres:3 New%:42.86
[2026-03-30 21:10:08.133006] SYNC: Student radha (205) | Total:3 Pres:0 New%:0.0
[2026-03-30 22:57:48.630317] SYNC: Student Teja (201) | Total:8 Pres:5 New%:62.5
[2026-03-30 22:57:48.639100] SYNC: Student Sujatha (202) | Total:8 Pres:1 New%:12.5
[2026-03-30 22:57:48.648921] SYNC: Student Kavitha (203) | Total:8 Pres:2 New%:25.0
[2026-03-30 22:57:48.656957] SYNC: Student Praveen (204) | Total:8 Pres:4 New%:50.0
[2026-03-30 22:57:48.670016] SYNC: Student radha (205) | Total:4 Pres:1 New%:25.0
[2026-03-30 23:24:41.992768] SYNC: Student ravi (101) | Total:6 Pres:3 New%:50.0
[2026-03-30 23:24:42.004243] SYNC: Student Sravani (105) | Total:6 Pres:4 New%:66.67
[2026-03-30 23:24:42.012054] SYNC: Student Vennela (106) | Total:6 Pres:4 New%:66.67
[2026-03-30 23:24:42.024635] SYNC: Student jaya (103) | Total:7 Pres:5 New%:71.43
[2026-03-31 10:27:13.570968] SYNC: Student ravi (101) | Total:7 Pres:3 New%:42.86
[2026-03-31 10:27:13.588594] SYNC: Student Sravani (105) | Total:7 Pres:5 New%:71.43
[2026-03-31 10:27:13.608023] SYNC: Student Vennela (106) | Total:7 Pres:4 New%:57.14
[2026-03-31 10:27:13.624904] SYNC: Student jaya (103) | Total:8 Pres:6 New%:75.0
[2026-03-31 12:20:26.312246] SYNC: Student Vennela (106) | Total:7 Pres:4 New%:57.14
[2026-03-31 12:26:00.161616] SYNC: Student qw (108) | Total:0 Pres:0 New%:100.0
[2026-03-31 12:26:53.271649] SYNC: Student ravi (108) | Total:0 Pres:0 New%:100.0
[2026-04-01 20:56:14.293033] SYNC: Student Rahul (1001) | Total:0 Pres:0 New%:100.0
[2026-04-01 20:58:14.728375] SYNC: Student Rahul Updated (101) | Total:7 Pres:3 New%:42.86
[2026-04-01 21:06:39.656013] SYNC: Student Rahul Updated (101) | Total:1 Pres:1 New%:100.0
[2026-04-01 21:16:53.751466] SYNC: Student Rahul Updated (101) | Total:2 Pres:2 New%:100.0
